kod_sekolah,name,address,latitude,longitude,ppd,school_type,,sebab_ralat
ABAB021,SEKOLAH KEBANGSAAN SUNGAI PERGAM,KAMPUNG PARIT 5, SUNGAI PERGAM,3.959995,100.805833,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'SUNGAI PERGAM'
ABAB024,SEKOLAH KEBANGSAAN RUNGKUP,SIMPANG 4, JALAN RUNGKUP,3.948831,100.714878,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'JALAN RUNGKUP'
ABAB025,SEKOLAH KEBANGSAAN SUNGAI TIANG BAROH,KAMPUNG SUNGAI TIANG BAROH, JALAN SG TG BAROH,3.905856,100.718833,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'JALAN SG TG BAROH'
ABAB027,SEKOLAH KEBANGSAAN SELEKOH,BATU 23, JALAN BAGAN DATOH,3.910233,100.775047,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'JALAN BAGAN DATOH'
ABB1043,SEKOLAH KEBANGSAAN SIMPANG EMPAT,D/A SMK AHMAD BOESTAMAM, JALAN HAJI MOHD ALI,4.22035,100.69491,PPD MANJUNG,['RENDAH'],could not convert string to float: 'JALAN HAJI MOHD ALI'
ABB2082,SEKOLAH KEBANGSAAN LA SALLE,LEBUH SUNGAI SENAM, TAMAN IPOH,4.607649,101.109027,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'TAMAN IPOH'
ABB2084,SEKOLAH KEBANGSAAN PEREMPUAN METHODIST,69, JALAN CHAMBERLAIN HULU,4.587609385,101.0851195,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'JALAN CHAMBERLAIN HULU'
ABB9001,SEKOLAH KEBANGSAAN GOPENG,JALAN ILMU, KOPISAN BARU,4.461241,101.162793,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'KOPISAN BARU'
ABB9002,SEKOLAH KEBANGSAAN METHODIST (ACS),1, JALAN KUALA DIPANG,4.316774,101.152964,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'JALAN KUALA DIPANG'
ABBB001,SEKOLAH KEBANGSAAN KHIR JOHARI,BATU 17, SUNGAI SUMUN,3.8909,100.851219,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'SUNGAI SUMUN'
ABC0053,SEKOLAH JENIS KEBANGSAAN (CINA) CHENDERIANG,NO.11, JALAN TEMOH,4.263583,101.237736,PPD BATANG PADANG,['RENDAH'],could not convert string to float: 'JALAN TEMOH'
ABC0054,SEKOLAH JENIS KEBANGSAAN (CINA) KHEUNG WA,LOT 1255, JALAN BIDOR,4.194403,101.262552,PPD BATANG PADANG,['RENDAH'],could not convert string to float: 'JALAN BIDOR'
ABC1048,SEKOLAH JENIS KEBANGSAAN (CINA) ENG LING,LOT 9894, JALAN DESA MANJUNG 2, TAMAN DESA MANJUNG POINT,4.235203,100.634651,"['PPD MANJUNG', 'RENDAH']",could not convert string to float: 'TAMAN DESA MANJUNG POINT'
ABC1055,SEKOLAH JENIS KEBANGSAAN (CINA) UK DIH,JLN LEKIR, KG KOH,4.187283096,100.7045904,PPD MANJUNG,['RENDAH'],could not convert string to float: 'KG KOH'
ABC2100,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHOY,195, JALAN SULTAN ISKANDAR,4.592705043,101.0880097,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'JALAN SULTAN ISKANDAR'
ABC2101,SEKOLAH JENIS KEBANGSAAN (CINA) PERAK,87, PEOPLE'S PARK,4.593030896,101.0785139,PPD KINTA UTARA,['RENDAH'],"could not convert string to float: ""PEOPLE'S PARK"""
ABC2102,SEKOLAH JENIS KEBANGSAAN (CINA) SAM TET,NO.22, JALAN GEREJA,4.59491254,101.0874759,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'JALAN GEREJA'
ABC2105,SEKOLAH JENIS KEBANGSAAN (CINA) POI LAM,PT21071, BANDAR BARU SRI KLEBANG, JALAN KUALA KANGSAR,4.692179,101.117782,"['PPD KINTA UTARA', 'RENDAH']",could not convert string to float: 'JALAN KUALA KANGSAR'
ABC2107,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG SHAN,129, JALAN TREACHER (S),4.590849,101.077695,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'JALAN TREACHER (S)'
ABC2111,SEKOLAH JENIS KEBANGSAAN (CINA) GUNTONG,JALAN SEKOLAH, KG. BARU BUNTONG,4.595964098,101.0598905,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'KG. BARU BUNTONG'
ABC2114,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG TACK,LEBUH 2, SIMEE,4.617304,101.10668,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'SIMEE'
ABC2115,SEKOLAH JENIS KEBANGSAAN (CINA) BERCHAM,LORONG 8, BERCHAM,4.637589,101.129044,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'BERCHAM'
ABC2117,SEKOLAH JENIS KEBANGSAAN (CINA) HING HWA,JALAN AMPANG, TAMBUN,4.608087678,101.1397969,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'TAMBUN'
ABC2118,SEKOLAH JENIS KEBANGSAAN (CINA) TAT CHOI,7, JALAN MAJLIS,4.671286,101.155666,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'JALAN MAJLIS'
